literature_id	route_id	query	nearest_paper	uri	checked_at	overlap_level	disease_overlap	object_overlap	outcome_overlap	data_overlap	analysis_overlap	claim_overlap	decision	distinction	notes
SPP-LIT-R01-01	SPP-R01	SPP1 TAM metabolic subtype ATP5F1E MT-CO1 colorectal liver metastasis	Targeting SPP1+TAMs associated with liver metastasis reverses immunosuppression and synergizes with immunotherapy in colorectal cancer	https://doi.org/10.1136/jitc-2025-014128	2026-08-07	high	same	same	partial	partial	same	partial	distinguish	Target route tests and replaces the single-marker metabolic construct under donor-aware QC rather than repeating the published subtype claim.	The anchor is the direct reference and must be cited as the source of the tested framework.
SPP-LIT-R01-02	SPP-R01	CRLM macrophage metabolism single cell spatial chemotherapy	Spatiotemporal Immune Landscape of Colorectal Cancer Liver Metastasis at Single-Cell Level	https://doi.org/10.1158/2159-8290.CD-21-0316	2026-08-07	high	same	partial	partial	partial	same	partial	distinguish	Focus on QC-robust reconstruction of the anchor's ATP5F1E/MT-CO1 construct rather than discovery of metabolically active MRC1+CCL18+ macrophages or chemotherapy response.	This 2022 study already combines matched tissues spatial data metabolism and treatment response and is a major novelty constraint.
SPP-LIT-R01-03	SPP-R01	SELENOP SPP1 macrophage spatial colorectal cancer Visium HD	High-definition spatial transcriptomic profiling of immune cell populations in colorectal cancer	https://doi.org/10.1038/s41588-025-02193-3	2026-08-07	high	same	same	partial	same	same	partial	distinguish	Use its public data and official code as a primary-CRC spatial donor but add CRLM and a prespecified metabolic-program robustness question.	It already examines SELENOP+ and SPP1+ macrophage spatial organization in primary CRC.
SPP-LIT-R01-04	SPP-R01	SPP1 macrophage FOLR2 metabolic spatial colorectal liver metastasis 2026	Integrated single-cell and spatial transcriptomic analysis reveals mCAF-SPP1+ macrophage-T cell crosstalk shaping immunosuppressive niches in colorectal cancer liver metastasis	https://doi.org/10.1186/s12967-026-07978-6	2026-08-07	high	same	same	partial	partial	same	partial	distinguish	Do not repeat the mCAF-SPP1-T-cell niche or three-gene signature; retain only the independent need for a QC-robust metabolic state.	Published shortly before the anchor and uses GSE166555 GSE178318 and GSE217414 among its evidence.
SPP-LIT-R01-05	SPP-R01	lipid metabolism macrophage heterogeneity colorectal liver metastasis	Integrative single-cell and spatial transcriptomic analysis reveals lipid metabolism-mediated macrophage heterogeneity during colorectal cancer liver metastasis progression	https://doi.org/10.1186/s12967-025-07581-1	2026-08-07	high	same	partial	same	partial	same	partial	distinguish	The target may not relabel a generic lipid-metabolism axis; it must specifically test the anchor's single-marker construct and derive a distinct locked program only if supported.	Another strong warning that a broad macrophage-metabolism story is already crowded; DOI was checked against the PubMed/PMC record.
SPP-LIT-R01-06	SPP-R01	SPP1 TAM metabolic crosstalk colorectal cancer spatial transcriptomics code	Integrated Single-Cell and Spatial Transcriptomic Analysis Identifies Putative Metabolic Crosstalk Between SPP1+ TAMs and SLC6A20+ Epithelial Cells in Colorectal Cancer	https://doi.org/10.3390/cancers18111755	2026-08-08	high	same	same	partial	partial	same	partial	distinguish	The target route must remain a prespecified falsification and reconstruction of the anchor's ATP5F1E/MT-CO1 state under donor-aware QC and CRLM validation; it may not claim generic SPP1-TAM metabolic crosstalk or build another outcome-guided prognostic model.	This 2026 paper integrates six CRC single-cell cohorts, spatial data, metabolic programs and a prognostic model and reports public code, so it is both a major novelty constraint and an unqualified code-donor candidate.
SPP-LIT-R02-01	SPP-R02	cell source macrophage tumour fibroblast SPP1 colorectal liver metastasis CD8	SPP1 Drives Colorectal Cancer Liver Metastasis and Immunotherapy Resistance by Stimulating CXCL12 Production in Cancer-Associated Fibroblasts	https://doi.org/10.1158/0008-5472.CAN-24-4916	2026-08-07	high	same	same	same	unknown	same	same	distinguish	Compare and quantify macrophage tumour and CAF source contributions rather than assert another single-source SPP1-to-CAF mechanism.	This paper shows tumour-derived SPP1 can act through CAF CXCL12 and warns against macrophage source assumptions; DOI was checked on the AACR article page.
SPP-LIT-R02-02	SPP-R02	SPP1 macrophage fibroblast spatial immunosuppression CRLM	Colorectal Cancer Metastases in the Liver Establish Immunosuppressive Spatial Networking between Tumor-Associated SPP1+ Macrophages and Fibroblasts	https://doi.org/10.1158/1078-0432.CCR-22-2041	2026-08-07	high	same	same	same	partial	same	same	distinguish	Only continue if explicit source comparison and patient-level negative controls create a non-overlapping question.	Sathe et al already established SPP1+ macrophage-fibroblast spatial networking in CRLM; DOI was checked on the AACR article page.
SPP-LIT-R02-03	SPP-R02	SPP1 macrophage T cell stress CD44 PI3K AKT colon liver metastasis	SPP1high macrophage-induced T-cell stress promotes colon cancer liver metastasis through SPP1/CD44/PI3K/AKT signaling	https://doi.org/10.1136/jitc-2025-012330	2026-08-07	high	same	same	same	unknown	same	same	distinguish	No claim that macrophage SPP1 drives T-cell stress is novel; the only defensible distinction is comparative cell-source attribution under spatial controls.	This study also reports anti-SPP1 plus anti-PD1 experiments.
SPP-LIT-R02-04	SPP-R02	mCAF SPP1 TAM T cell niche colorectal liver metastasis	Integrated single-cell and spatial transcriptomic analysis reveals mCAF-SPP1+ macrophage-T cell crosstalk shaping immunosuppressive niches in colorectal cancer liver metastasis	https://doi.org/10.1186/s12967-026-07978-6	2026-08-07	high	same	same	same	partial	same	same	distinguish	Source-comparison must be the central endpoint and the mCAF-T-cell niche cannot be reused as the claimed novelty.	High duplication risk remains even if different software is used.
