requirement_id	route_id	role	disease	tissue	modality	biological_unit	comparison_or_outcome	required_fields	minimum_subjects	access_limit	independence_required	required	notes
SPP-DREQ-R01-01	SPP-R01	discovery	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent liver	scRNA-seq	patient or donor	donor-level macrophage program across tissue with QC and treatment sensitivity	donor_id;sample_id;cell_id;tissue;treatment;study_id;counts;pct_mito;n_umi	6	public processed counts and metadata	false	true	Prefer matched tissues; cells are measurements not subjects.
SPP-DREQ-R01-02	SPP-R01	external validation	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent liver	scRNA-seq	patient or donor	locked macrophage program direction in an independent cohort	donor_id;sample_id;cell_id;tissue;treatment;study_id;counts;pct_mito;n_umi	6	public processed counts and metadata	true	true	No genes or thresholds may be changed after viewing this cohort.
SPP-DREQ-R01-03	SPP-R01	spatial validation	colorectal cancer	primary CRC	spatial transcriptomics	patient or donor	location of locked macrophage programs and technical negative controls	donor_id;slide_id;coordinates;counts;histology;region;capture_id	3	public processed spatial object and image	true	true	Primary CRC spatial role only; cannot stand in for CRLM.
SPP-DREQ-R01-04	SPP-R01	spatial validation	colorectal cancer liver metastasis	CRLM	spatial transcriptomics	patient or donor	location of locked macrophage programs and CD8-related regions	donor_id;slide_id;coordinates;counts;histology;region;capture_id;treatment	4	public processed spatial object and image	true	true	Treatment is required because the current candidate received neoadjuvant chemotherapy.
SPP-DREQ-R01-05	SPP-R01	exploratory	colorectal cancer	primary and metastatic tumour	bulk transcriptomics	patient	locked program association without outcome-guided feature selection	patient_id;tissue;expression;platform;clinical_outcome	100	public expression and metadata	true	false	Optional only after single-cell and spatial program lock.
SPP-DREQ-R02-01	SPP-R02	discovery	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent tissues	scRNA-seq	patient or donor	macrophage tumour and fibroblast source-specific SPP1 programs	donor_id;sample_id;cell_id;tissue;cell_type;counts;study_id;treatment	10	public processed counts and metadata	false	true	Requires enough cells in all three candidate source compartments per donor.
SPP-DREQ-R02-02	SPP-R02	spatial validation	colorectal cancer	primary CRC	spatial transcriptomics	patient or donor	source-specific SPP1 localization and CD8 proximity	donor_id;slide_id;coordinates;counts;histology;region;capture_id	3	public processed spatial object and image	true	true	Must support source-mixture and spatial permutation negative controls.
SPP-DREQ-R02-03	SPP-R02	spatial validation	colorectal cancer liver metastasis	CRLM	spatial transcriptomics	patient or donor	source-specific SPP1 localization and CD8 proximity	donor_id;slide_id;coordinates;counts;histology;region;capture_id;treatment	4	public processed spatial object and image	true	true	No causal source claim from deconvolution alone.
SPP-DREQ-R02-04	SPP-R02	external validation	colorectal cancer	primary tumour	bulk transcriptomics	patient	locked source-specific program association adjusted for purity and CAF abundance	patient_id;expression;platform;tumour_purity;clinical_outcome	100	public expression and metadata	true	false	Optional and secondary because bulk source attribution is indirect.
SPP-DREQ-R03-01	SPP-R03	discovery	colorectal cancer liver metastasis	paired primary CRC and CRLM	scRNA-seq	patient or donor	site by preoperative treatment or response interaction	donor_id;sample_id;cell_id;tissue;treatment;response;regimen;timepoint;counts	6	public processed counts and metadata	false	true	Minimum is exploratory; treatment and site must not be perfectly confounded.
SPP-DREQ-R03-02	SPP-R03	external validation	colorectal cancer liver metastasis	paired primary CRC and CRLM	scRNA-seq	patient or donor	locked site by treatment direction in an independent cohort	donor_id;sample_id;cell_id;tissue;treatment;response;counts	6	public processed counts and metadata	true	true	If response is absent the claim must be reduced to treatment context.
SPP-DREQ-R04-01	SPP-R04	experimental validation	colorectal cancer liver metastasis	mouse liver metastasis	in vivo perturbation	mouse	SPP1-specific perturbation crossed with anti-PD1	animal_id;randomization;blinding;group;dose;timepoint;metastatic_burden;cd8_endpoint;spp1_tam_endpoint	4	collaboration-approved raw data and protocol	false	true	The placeholder minimum is not a power calculation; final n must come from the prespecified primary endpoint.
SPP-DREQ-R05-01	SPP-R05	reproduction	colorectal cancer liver metastasis	primary CRC;CRLM;adjacent liver	scRNA-seq	patient or donor	published SPP1 versus SELENOP direction under an explicit repaired specification	donor_id;sample_id;cell_id;tissue;counts;pct_mito;n_umi	10	public processed counts and metadata	false	true	Training route; one traceable cohort is preferred over the undocumented 998204-cell integration.
SPP-DREQ-R08-01	SPP-R08	discovery	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent liver	scRNA-seq	patient or donor	locked SELENOP versus SPP1 macrophage program across tissue	donor_id;sample_id;cell_id;tissue;treatment;study_id;counts;pct_mito;n_umi;cell_type	10	public processed counts and metadata	false	true	Prefer one traceable cohort with donor-resolved tissues; cells are measurements not subjects.
SPP-DREQ-R08-02	SPP-R08	external validation	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent liver	scRNA-seq	patient or donor	direction of the locked SELENOP program in an independent cohort	donor_id;sample_id;cell_id;tissue;treatment;study_id;counts;cell_type	6	public processed counts and metadata	true	true	Genes directions and thresholds must be frozen before viewing the validation effect.
SPP-DREQ-R08-03	SPP-R08	spatial validation	colorectal cancer liver metastasis	CRLM	spatial transcriptomics	patient or donor	patient-level localization of locked SELENOP and SPP1 programs	donor_id;slide_id;coordinates;counts;histology;region;capture_id;treatment	4	public processed spatial object and image	true	true	SPP1 cell source and spot mixture must be controlled; spatial spots cannot be treated as independent patients.
