k	rank	program	gene
5	1	1	RPS2
5	2	1	RPL18
5	3	1	RPL19
5	4	1	RPS7
5	5	1	FAU
5	6	1	RPLP2
5	7	1	RPL9
5	8	1	RPL37A
5	9	1	RPS15
5	10	1	RPL10
5	11	1	RPS18
5	12	1	RPL23A
5	13	1	RPS14
5	14	1	RPL15
5	15	1	RPL41
5	16	1	RPL6
5	17	1	RPL11
5	18	1	RPL18A
5	19	1	RPS13
5	20	1	RPL36
5	21	1	RPS5
5	22	1	RPS25
5	23	1	RPL5
5	24	1	RPL13A
5	25	1	RPL21
5	26	1	RPS28
5	27	1	RPL35A
5	28	1	RPS16
5	29	1	RPS9
5	30	1	RPL28
5	31	1	RPL38
5	32	1	RPS3
5	33	1	RPS8
5	34	1	RPL26
5	35	1	RPS27
5	36	1	RPL24
5	37	1	RPS23
5	38	1	RPL13
5	39	1	RPS19
5	40	1	RPSA
5	41	1	COX4I1
5	42	1	RPL3
5	43	1	RPL39
5	44	1	RPL29
5	45	1	RPS15A
5	46	1	PRELID1
5	47	1	RPS3A
5	48	1	RPL32
5	49	1	RPL7
5	50	1	RPL10A
5	51	1	ATP5MG
5	52	1	RPS27A
5	53	1	RPLP0
5	54	1	RPS6
5	55	1	ATP5ME
5	56	1	NDUFA4
5	57	1	RPL34
5	58	1	MRPL12
5	59	1	ATP5MK
5	60	1	RPS20
5	61	1	RPL14
5	62	1	RPS21
5	63	1	RPL4
5	64	1	RPS11
5	65	1	TIMM13
5	66	1	RPL22
5	67	1	RPL12
5	68	1	UBA52
5	69	1	RPL27
5	70	1	RPLP1
5	71	1	HINT1
5	72	1	MRPL23
5	73	1	COX7C
5	74	1	DDT
5	75	1	RPS17
5	76	1	PRDX5
5	77	1	COX7A2
5	78	1	UQCRH
5	79	1	MRPL51
5	80	1	RPL35
5	81	1	RPL8
5	82	1	RPL22L1
5	83	1	BTF3
5	84	1	RACK1
5	85	1	GAPDH
5	86	1	RPS12
5	87	1	PHB1
5	88	1	RPS24
5	89	1	RPS4X
5	90	1	UQCRQ
5	91	1	PRDX2
5	92	1	ELOB
5	93	1	NDUFS5
5	94	1	HMGN1
5	95	1	MRPL20
5	96	1	PSMA7
5	97	1	ATP5F1D
5	98	1	RPL27A
5	99	1	NAA10
5	100	1	RPL30
5	1	2	MT-ND6
5	2	2	SLC35F2
5	3	2	RBFOX2
5	4	2	MUC2
5	5	2	STEAP1B
5	6	2	ATG10
5	7	2	ENSG00000267924
5	8	2	ENSG00000258472
5	9	2	LGALS4
5	10	2	PIGR
5	11	2	MT-ND1
5	12	2	ETHE1
5	13	2	ABCC3
5	14	2	MIR4300HG
5	15	2	MT-TS1
5	16	2	KRT19
5	17	2	MT-ND4
5	18	2	MT-CYB
5	19	2	ENSG00000281383
5	20	2	CKMT1A
5	21	2	MGST3
5	22	2	REG4
5	23	2	ASTN2
5	24	2	SPICE1
5	25	2	IL6ST
5	26	2	SNHG31
5	27	2	CFL1
5	28	2	PCNP
5	29	2	TST
5	30	2	IL1R2
5	31	2	SULT1A4
5	32	2	ENSG00000236449
5	33	2	FCGBP
5	34	2	FGD2
5	35	2	SQOR
5	36	2	EIF3C
5	37	2	BOLA2B
5	38	2	SULT1A3
5	39	2	CHCHD3
5	40	2	CSF1R
5	41	2	LAD1
5	42	2	S100P
5	43	2	S100A14
5	44	2	NPIPB4
5	45	2	NTRK1
5	46	2	ANXA2
5	47	2	ARMC9
5	48	2	CAPN1
5	49	2	ENSG00000235419
5	50	2	DTWD2
5	51	2	ZBTB7C
5	52	2	EIF5AL1
5	53	2	PLEKHA7
5	54	2	CACNA1E
5	55	2	NPIPB5
5	56	2	MAPK3
5	57	2	SEPTIN9
5	58	2	MYO1C
5	59	2	NOMO2
5	60	2	MT-ATP6
5	61	2	ENSG00000275895
5	62	2	ATP2A3
5	63	2	FLNB
5	64	2	MT-RNR2
5	65	2	ENSG00000213121
5	66	2	LINC01470
5	67	2	NIBAN2
5	68	2	ENSG00000258077
5	69	2	MAN2B2
5	70	2	GLT8D2
5	71	2	SEC13
5	72	2	CCSER1
5	73	2	TMED9
5	74	2	CYB5R3
5	75	2	MT-RNR1
5	76	2	MGAT4B
5	77	2	SURF4
5	78	2	SLC35F1
5	79	2	TMCC2
5	80	2	PLPP3
5	81	2	MICOS10
5	82	2	CAPNS1
5	83	2	MT-CO3
5	84	2	AKR1B10
5	85	2	NUCB2
5	86	2	ERGIC1
5	87	2	ALDH1L1
5	88	2	NPIPB3
5	89	2	KIAA1522
5	90	2	EIF3CL
5	91	2	SLC35C1
5	92	2	GOLM1
5	93	2	DANT2
5	94	2	ANKFN1
5	95	2	RNPEP
5	96	2	SCAMP2
5	97	2	ENSG00000281181
5	98	2	PKP3
5	99	2	EPB42
5	100	2	LYPLA2
5	1	3	NAALADL2
5	2	3	PTPRK
5	3	3	SAMD12
5	4	3	NIHCOLE
5	5	3	ZC3H12B
5	6	3	IMMP2L
5	7	3	EXOC4
5	8	3	DGKH
5	9	3	KMT2C
5	10	3	CASK
5	11	3	GPHN
5	12	3	COG5
5	13	3	PDE4D
5	14	3	NPSR1
5	15	3	SMYD3
5	16	3	MECOM
5	17	3	LRBA
5	18	3	FRMD5
5	19	3	MLLT3
5	20	3	PTPRD
5	21	3	CFTR
5	22	3	XACT
5	23	3	ZCCHC7
5	24	3	GRIN2B
5	25	3	NALF1
5	26	3	LINC01473
5	27	3	SEMA3C
5	28	3	DIAPH2
5	29	3	PPP1R9A
5	30	3	SYNE2
5	31	3	PRELID2
5	32	3	TCF12
5	33	3	ARL15
5	34	3	R3HDM1
5	35	3	RAPGEF2
5	36	3	ARHGAP26
5	37	3	PPP3CA
5	38	3	FBXW7
5	39	3	CERS6
5	40	3	SATB2
5	41	3	JMJD1C
5	42	3	GRM8
5	43	3	ALCAM
5	44	3	PLEKHA5
5	45	3	CEMIP
5	46	3	CAMKMT
5	47	3	STK3
5	48	3	PLCB4
5	49	3	CADPS
5	50	3	PARD3B
5	51	3	LAMA2
5	52	3	ZMYM2
5	53	3	BAZ2B
5	54	3	FRYL
5	55	3	ZBTB20
5	56	3	NFIA
5	57	3	PAN3
5	58	3	COBL
5	59	3	SBF2
5	60	3	LNC-LBCS
5	61	3	PARD3
5	62	3	SPIDR
5	63	3	FHIT
5	64	3	VPS13C
5	65	3	PTK2
5	66	3	NEBL
5	67	3	BIRC6
5	68	3	AGAP1
5	69	3	PTPN12
5	70	3	RASAL2
5	71	3	MACC1
5	72	3	FBXL17
5	73	3	UTRN
5	74	3	ZNF638
5	75	3	TRIO
5	76	3	PRKCA
5	77	3	ARID5B
5	78	3	DLG1
5	79	3	PATJ
5	80	3	INPP4B
5	81	3	STAG1
5	82	3	ARHGAP32
5	83	3	VTI1A
5	84	3	KANK1
5	85	3	NFAT5
5	86	3	FUT8
5	87	3	ARID1B
5	88	3	FNBP1L
5	89	3	MBNL1
5	90	3	PIBF1
5	91	3	USP6NL
5	92	3	MALAT1
5	93	3	AKAP9
5	94	3	PAM
5	95	3	SLCO1B3-SLCO1B7
5	96	3	FBXO11
5	97	3	RBBP8
5	98	3	PKP4
5	99	3	EHBP1
5	100	3	SEMA5A
5	1	4	TRAPPC5
5	2	4	MIF
5	3	4	HSP90AA1
5	4	4	HSPH1
5	5	4	EIF4A1
5	6	4	NME2
5	7	4	HSP90AB1
5	8	4	DNAJB1
5	9	4	HLA-A
5	10	4	HSPD1
5	11	4	BAG3
5	12	4	S100A11
5	13	4	RBIS
5	14	4	YWHAZ
5	15	4	PSMA6
5	16	4	FLNA
5	17	4	TPM3
5	18	4	DNAJA1
5	19	4	KRTCAP2
5	20	4	ARL4C
5	21	4	PTMA
5	22	4	TUBB3
5	23	4	PPP1R15A
5	24	4	TESC
5	25	4	TAF10
5	26	4	HSPB1
5	27	4	TNFSF9
5	28	4	HEBP2
5	29	4	GABARAP
5	30	4	PPP1R14B
5	31	4	S100A10
5	32	4	SOX4
5	33	4	JUND
5	34	4	RNASEK
5	35	4	FKBP4
5	36	4	DNLZ
5	37	4	HSPA8
5	38	4	UBC
5	39	4	RHOB
5	40	4	FOXQ1
5	41	4	PPIA
5	42	4	RBP1
5	43	4	TMEM238
5	44	4	HNRNPU
5	45	4	HOMER3
5	46	4	NUCKS1
5	47	4	NCL
5	48	4	TCN1
5	49	4	CALD1
5	50	4	TXN
5	51	4	ELOC
5	52	4	CNN2
5	53	4	PERP
5	54	4	HSPA1B
5	55	4	ZFP36L1
5	56	4	TMEM265
5	57	4	NONO
5	58	4	TAGLN2
5	59	4	CCT6A
5	60	4	IER5
5	61	4	EEF1G
5	62	4	LAPTM4B
5	63	4	MTDH
5	64	4	XIST
5	65	4	SRSF9
5	66	4	PHLDA1
5	67	4	RNASET2
5	68	4	RPP21
5	69	4	PRRC2C
5	70	4	CDK2AP1
5	71	4	CACYBP
5	72	4	DSP
5	73	4	DEK
5	74	4	YWHAQ
5	75	4	MARCKS
5	76	4	PMEPA1
5	77	4	LSM7
5	78	4	SLC38A2
5	79	4	RAD21
5	80	4	CDV3
5	81	4	TMSB10
5	82	4	GNG5
5	83	4	EEF1D
5	84	4	KRT18
5	85	4	PARP1
5	86	4	RAB2A
5	87	4	BMP4
5	88	4	ENSG00000230234
5	89	4	CALR
5	90	4	HSPE1
5	91	4	KLK6
5	92	4	BARX1
5	93	4	DCBLD2
5	94	4	SELENOW
5	95	4	C17orf49
5	96	4	EEF2
5	97	4	CD81
5	98	4	HNRNPL
5	99	4	PABPC1
5	100	4	HSPA5
5	1	5	IL4
5	2	5	FABP6-AS1
5	3	5	CYP1A1
5	4	5	ENSG00000267001
5	5	5	CYP3A4
5	6	5	SECTM1
5	7	5	MUC13
5	8	5	SCHLAP1
5	9	5	APOC3
5	10	5	LINC02826
5	11	5	MUC17
5	12	5	TMPRSS2
5	13	5	TMEM37
5	14	5	TP53INP2
5	15	5	TRANK1
5	16	5	ALDOB
5	17	5	SCNN1A
5	18	5	CLDN7
5	19	5	PCDH1
5	20	5	SDCBP2
5	21	5	ACHE
5	22	5	GPRC5A
5	23	5	ANPEP
5	24	5	SERINC2
5	25	5	PLAAT4
5	26	5	C1orf115
5	27	5	TMBIM1
5	28	5	ALPI
5	29	5	CNKSR3
5	30	5	PLAC8
5	31	5	TSPAN1
5	32	5	CDHR2
5	33	5	GDA
5	34	5	SMIM5
5	35	5	ENSG00000267665
5	36	5	HSD17B2
5	37	5	RECQL5
5	38	5	GCNT3
5	39	5	GUCA2A
5	40	5	SRI
5	41	5	IGLON5
5	42	5	PRSS23
5	43	5	FBXO32
5	44	5	CDHR5
5	45	5	MYOM1
5	46	5	NOS2
5	47	5	ISG20
5	48	5	MEP1A
5	49	5	CFDP1
5	50	5	JUP
5	51	5	C17orf67
5	52	5	SLC9C1
5	53	5	MGLL
5	54	5	INAVA
5	55	5	SLC25A23
5	56	5	ST14
5	57	5	PIM1
5	58	5	ACVRL1
5	59	5	SLC16A3
5	60	5	GRN
5	61	5	ENSG00000273445
5	62	5	SMAD3
5	63	5	TICAM1
5	64	5	AOC1
5	65	5	SMPD1
5	66	5	ABCG1
5	67	5	ABCG2
5	68	5	DUOX2
5	69	5	GUCA2B
5	70	5	NEK2-DT
5	71	5	ENSG00000267881
5	72	5	IFI27
5	73	5	VSIR
5	74	5	RHOC
5	75	5	SLCO4A1-AS2
5	76	5	TRPV3
5	77	5	QSOX1
5	78	5	DHRS9
5	79	5	STBD1
5	80	5	CDKN1A
5	81	5	DUSP5
5	82	5	CLDN4
5	83	5	PDZK1IP1
5	84	5	UBALD2
5	85	5	CLIC5
5	86	5	SLC26A3
5	87	5	EXOC6B
5	88	5	GSN
5	89	5	SPINT1
5	90	5	MUC3A
5	91	5	LYPD8
5	92	5	LINC02800
5	93	5	SLCO2A1
5	94	5	CLDN23
5	95	5	MXD1
5	96	5	GPA33
5	97	5	TRIM31
5	98	5	PTTG1IP
5	99	5	PLA2G4C
5	100	5	MAF
6	1	1	RPS2
6	2	1	RPL18
6	3	1	RPL19
6	4	1	RPS7
6	5	1	FAU
6	6	1	RPLP2
6	7	1	RPL9
6	8	1	RPL37A
6	9	1	RPS15
6	10	1	RPL10
6	11	1	RPS18
6	12	1	RPL23A
6	13	1	RPS14
6	14	1	RPL41
6	15	1	RPL15
6	16	1	RPL6
6	17	1	RPL11
6	18	1	RPL18A
6	19	1	RPS13
6	20	1	RPL36
6	21	1	RPS5
6	22	1	RPS25
6	23	1	RPL5
6	24	1	RPL21
6	25	1	RPL13A
6	26	1	RPS28
6	27	1	RPL35A
6	28	1	RPS16
6	29	1	RPS9
6	30	1	RPL28
6	31	1	RPL38
6	32	1	RPS3
6	33	1	RPS8
6	34	1	RPL26
6	35	1	RPS27
6	36	1	RPL24
6	37	1	RPS23
6	38	1	RPL13
6	39	1	RPS19
6	40	1	RPSA
6	41	1	COX4I1
6	42	1	RPL3
6	43	1	RPL39
6	44	1	RPL29
6	45	1	PRELID1
6	46	1	RPS15A
6	47	1	RPS3A
6	48	1	RPL32
6	49	1	RPL7
6	50	1	RPL10A
6	51	1	ATP5MG
6	52	1	RPS27A
6	53	1	RPLP0
6	54	1	ATP5ME
6	55	1	RPS6
6	56	1	NDUFA4
6	57	1	RPL34
6	58	1	ATP5MK
6	59	1	MRPL12
6	60	1	RPS20
6	61	1	RPL14
6	62	1	RPS11
6	63	1	RPL4
6	64	1	RPS21
6	65	1	TIMM13
6	66	1	RPL22
6	67	1	RPL12
6	68	1	UBA52
6	69	1	RPL27
6	70	1	RPLP1
6	71	1	HINT1
6	72	1	MRPL23
6	73	1	COX7C
6	74	1	DDT
6	75	1	RPS17
6	76	1	PRDX5
6	77	1	COX7A2
6	78	1	UQCRH
6	79	1	MRPL51
6	80	1	RPL35
6	81	1	RPL8
6	82	1	RPL22L1
6	83	1	BTF3
6	84	1	GAPDH
6	85	1	RACK1
6	86	1	RPS12
6	87	1	PHB1
6	88	1	RPS24
6	89	1	RPS4X
6	90	1	UQCRQ
6	91	1	PRDX2
6	92	1	ELOB
6	93	1	NDUFS5
6	94	1	HMGN1
6	95	1	MRPL20
6	96	1	PSMA7
6	97	1	ATP5F1D
6	98	1	RPL27A
6	99	1	NAA10
6	100	1	RPL30
6	1	2	NAALADL2
6	2	2	PTPRK
6	3	2	SAMD12
6	4	2	NIHCOLE
6	5	2	ZC3H12B
6	6	2	IMMP2L
6	7	2	EXOC4
6	8	2	CASK
6	9	2	DGKH
6	10	2	KMT2C
6	11	2	GPHN
6	12	2	PDE4D
6	13	2	COG5
6	14	2	SMYD3
6	15	2	NPSR1
6	16	2	MECOM
6	17	2	LRBA
6	18	2	MLLT3
6	19	2	FRMD5
6	20	2	CFTR
6	21	2	PTPRD
6	22	2	XACT
6	23	2	ZCCHC7
6	24	2	GRIN2B
6	25	2	LINC01473
6	26	2	NALF1
6	27	2	PPP1R9A
6	28	2	SEMA3C
6	29	2	DIAPH2
6	30	2	SYNE2
6	31	2	PRELID2
6	32	2	TCF12
6	33	2	ARL15
6	34	2	R3HDM1
6	35	2	ARHGAP26
6	36	2	CERS6
6	37	2	RAPGEF2
6	38	2	SATB2
6	39	2	PPP3CA
6	40	2	GRM8
6	41	2	FBXW7
6	42	2	ALCAM
6	43	2	PLCB4
6	44	2	CAMKMT
6	45	2	JMJD1C
6	46	2	CEMIP
6	47	2	PLEKHA5
6	48	2	CADPS
6	49	2	STK3
6	50	2	LAMA2
6	51	2	PARD3B
6	52	2	NFIA
6	53	2	ZMYM2
6	54	2	ZBTB20
6	55	2	LNC-LBCS
6	56	2	COBL
6	57	2	BAZ2B
6	58	2	SPIDR
6	59	2	FHIT
6	60	2	FRYL
6	61	2	PAN3
6	62	2	SBF2
6	63	2	VPS13C
6	64	2	PARD3
6	65	2	BIRC6
6	66	2	AGAP1
6	67	2	PTK2
6	68	2	NEBL
6	69	2	PTPN12
6	70	2	RASAL2
6	71	2	MACC1
6	72	2	TRIO
6	73	2	UTRN
6	74	2	FBXL17
6	75	2	ARID5B
6	76	2	ZNF638
6	77	2	DLG1
6	78	2	PRKCA
6	79	2	KANK1
6	80	2	PATJ
6	81	2	ARHGAP32
6	82	2	FUT8
6	83	2	INPP4B
6	84	2	ARID1B
6	85	2	STAG1
6	86	2	VTI1A
6	87	2	FNBP1L
6	88	2	NFAT5
6	89	2	MBNL1
6	90	2	PIBF1
6	91	2	USP6NL
6	92	2	MALAT1
6	93	2	AKAP9
6	94	2	PAM
6	95	2	SLCO1B3-SLCO1B7
6	96	2	PKP4
6	97	2	EHBP1
6	98	2	RBBP8
6	99	2	SEMA5A
6	100	2	FBXO11
6	1	3	TRAPPC5
6	2	3	MIF
6	3	3	HSP90AA1
6	4	3	HSPH1
6	5	3	EIF4A1
6	6	3	NME2
6	7	3	HSP90AB1
6	8	3	DNAJB1
6	9	3	HLA-A
6	10	3	HSPD1
6	11	3	BAG3
6	12	3	S100A11
6	13	3	RBIS
6	14	3	YWHAZ
6	15	3	FLNA
6	16	3	PSMA6
6	17	3	TPM3
6	18	3	DNAJA1
6	19	3	KRTCAP2
6	20	3	ARL4C
6	21	3	PTMA
6	22	3	TUBB3
6	23	3	PPP1R15A
6	24	3	TESC
6	25	3	TAF10
6	26	3	HSPB1
6	27	3	TNFSF9
6	28	3	HEBP2
6	29	3	GABARAP
6	30	3	S100A10
6	31	3	PPP1R14B
6	32	3	SOX4
6	33	3	JUND
6	34	3	RNASEK
6	35	3	FKBP4
6	36	3	HSPA8
6	37	3	DNLZ
6	38	3	UBC
6	39	3	RHOB
6	40	3	RBP1
6	41	3	FOXQ1
6	42	3	PPIA
6	43	3	TMEM238
6	44	3	HOMER3
6	45	3	HNRNPU
6	46	3	NUCKS1
6	47	3	TCN1
6	48	3	NCL
6	49	3	CALD1
6	50	3	TXN
6	51	3	PERP
6	52	3	ELOC
6	53	3	CNN2
6	54	3	HSPA1B
6	55	3	TMEM265
6	56	3	ZFP36L1
6	57	3	TAGLN2
6	58	3	NONO
6	59	3	IER5
6	60	3	EEF1G
6	61	3	CCT6A
6	62	3	LAPTM4B
6	63	3	MTDH
6	64	3	PHLDA1
6	65	3	SRSF9
6	66	3	XIST
6	67	3	RNASET2
6	68	3	RPP21
6	69	3	CDK2AP1
6	70	3	CACYBP
6	71	3	PRRC2C
6	72	3	YWHAQ
6	73	3	DEK
6	74	3	DSP
6	75	3	PMEPA1
6	76	3	MARCKS
6	77	3	LSM7
6	78	3	SLC38A2
6	79	3	RAD21
